"","titles","prices","years"
"726","Nissan Wagon",1099000,"2013"
"727","Nissan Expert",1049000,"2012"
"728",NA,NA,NA
"729","Nissan March",1359000,"2014"
"730","Toyota Vitz",470000,"2001"
"731","Nissan Note",1649000,"2015"
"732","Mazda Premacy",1899000,"2014"
"733","Honda Civic",2500000,"2015"
"734","Honda Civic",1650000,"2012"
"735","Honda FIT",890000,"2009"
"736","Honda ARIA",750000,"2006"
"737","Honda INSPIRE",1750000,"2010"
"738","Toyota DX",2390000,"2012"
"739",NA,NA,NA
"740","Nissan NOTE",1200000,"2013"
"741","Toyota Levin",425000,"1997"
"742","Suzuki SWIFT",850000,"2010"
"743","Nissan Bluebird",180000,"2000"
"744","Toyota voxy",2280000,"2012"
"745","Toyota Harrier",9e+05,"1999"
"746","Toyota Camry",230000,"1993"
"747","Toyota Cheaser",3e+05,"1995"
"748","Honda Lx",3600000,"2017"
"749","Suzuki sport",9e+05,"2008"
"750",NA,NA,NA
"751","Suzuki swift",570000,"2006"
"752","Nissan Note",1300000,"2013"
"753","Honda Stream",780000,"2006"
"754","Nissan Latio",950000,"2010"
"755","Mercedes c300",1950000,"2008"
"756","Toyota Auris",1600000,"2011"
"757","Toyota Wish",995000,"2006"
"758","Honda Inspire",1900000,"2011"
"759","Honda ACCORD",1650000,"2010"
"760","Nissan SYLPHY",1490000,"2011"
"761",NA,NA,NA
"762","Mazda DEMIO",1180000,"2012"
"763","Nissan Sunny",420000,"2002"
"764","Toyota Kingfish",750000,"2002"
"765","Suzuki Rr",420000,"2007"
"766","Mitsubishi L",480000,"2001"
"767","Toyota Voxy",2450000,"2011"
"768","Honda Crv",1850000,"2010"
"769","Toyota X",3200000,"2015"
"770","Toyota S",1750000,"2012"
"771","Toyota AXIO",1950000,"2013"
"772",NA,NA,NA
"773","Nissan Rouge",1750000,"2012"
"774","Toyota ISIS",1780000,"2012"
"775","Toyota Fielder",1900000,"2013"
"776","Honda Fit",1200000,"2012"
"777","Honda Fit",1230000,"2012"
"778","Honda Odyssey",1850000,"2011"
"779","Toyota Axio",1850000,"2014"
"780","Toyota x",1650000,"2012"
"781","Toyota Vitz",1150000,"2011"
"782","Honda Accord",630000,"1999"
"783",NA,NA,NA
"784","Subaru B",8e+05,"2006"
"785","Honda Civic",2400000,"2014"
"786","Nissan Star",1800000,"2011"
"787","Honda Odyssey",690000,"2001"
"788","Toyota Fielder",1900000,"2013"
"789","Mazda 323",295000,"2000"
"790","Toyota Caldina",8e+05,"2004"
"791","Suzuki sport",1340000,"2011"
"792","Toyota DX",350000,"1994"
"793","BMW E605series",1650000,"2006"
"794",NA,NA,NA
"795","Honda Fit",7e+05,"2007"
"796","Toyota Rav4",590000,"1996"
"797","Honda Civic",569000,"2000"
"798","Toyota Sprinter",240000,"1989"
"799","Honda Integra",5e+05,"2000"
"800","Mitsubishi Lancer",320000,"1999"
"801","Toyota voxy",2450000,"2013"
"802","Toyota 4",4100000,"2016"
"803","Honda CRV",2050000,"2010"
"804","Opel Insignia",1500000,"2009"
"805",NA,NA,NA
"806","Nissan Tiida",850000,"2009"
"807","Toyota Voxy",950000,"2006"
"808","Suzuki Escudo",2399000,"2012"
"809","Mazda Demio",1349000,"2013"
"810","Honda Odyssey",1995000,"2012"
"811","Toyota Fielder",1859000,"2013"
"812","Honda Stepwagon",2049000,"2012"
"813","Jeep laredo",580000,"1998"
"814","Honda r",9e+05,"2002"
"815","Honda Civic",1400000,"2009"
"816",NA,NA,NA
"817","Honda Sport",4100000,"2017"
"818","Toyota Axio",1950000,"2013"
"819","Nissan Juke",2549000,"2013"
"820","Nissan Note",1499000,"2014"
"821","Toyota Axio",2199000,"2015"
"822","Toyota Wish",2599000,"2015"
"823","Mazda Demio",1459000,"2013"
"824","Nissan Tiida",6e+05,"2007"
"825","Honda Fit",1999000,"2016"
"826","Toyota Fielder",1999000,"2014"
"827",NA,NA,NA
"828","Nissan Serena",2045000,"2013"
"829","Nissan Serena",1789000,"2012"
"830","Toyota Axio",1799000,"2013"
"831","Nissan Note",1679000,"2015"
"832","Toyota Wish",2250000,"2012"
"833","Honda FIT",2350000,"2016"
"834","Toyota RAV4",2200000,"2011"
"835","Mazda Premacy",1899000,"2014"
"836","Toyota Probox",1369000,"2013"
"837","Toyota Axio",1989000,"2014"
"838",NA,NA,NA
"839","Mazda Biante",1929000,"2013"
"840","Honda Fit",1589000,"2013"
"841","Mazda Demio",1299000,"2013"
"842","Mazda Premacy",1849000,"2014"
"843","Mazda Premacy",1849000,"2014"
"844","Toyota Isis",1989000,"2013"
"845","Toyota Sienta",1300000,"2012"
"846","Toyota Premio",1520000,"2007"
"847","BMW 530I",1200000,"2004"
"848","Nissan Sunny",750000,"2006"
"849",NA,NA,NA
"850","Honda Accord",550000,"2002"
"851","Honda Accord",2050000,"2009"
"852","Nissan tiida",7e+05,"2007"
"853","Suzuki Vitara",650000,"2008"
"854","Suzuki SWIFT",2800000,"2017"
"855","Honda Civic",480000,"1999"
"856","Toyota Corolla",9e+05,"2002"
"857","Mitsubishi ASX",3300000,"2015"
"858","Honda Accord",550000,"1997"
"859","Toyota COROLLA",2200000,"2015"
"860",NA,NA,NA
"861","Toyota yaris",850000,"2011"
"862","BMW 328i",3500000,"2013"
"863","Hyundai H1",1600000,"2012"
"864","Mazda VERISA",650000,"2008"
"865","Nissan b14",350000,"1996"
"866","Volkswagen Jetta",420000,"1995"
"867","Toyota Platana",1650000,"2012"
"868","Mitsubishi Lancer",485000,"2002"
"869","Nissan bird",395000,"2001"
"870","Toyota Axio",1530000,"2012"
"871",NA,NA,NA
"872","Nissan Sylphy",1300000,"2012"
"873","Nissan Tida",870000,"2010"
"874","Suzuki Baleno",290000,"2003"
"875","Hyundai Tucson",2600000,"2013"
"876","Mitsubishi galant",150000,"1994"
"877","Toyota 110",420000,"1997"
"878","Volkswagen edition",2150000,"2013"
"879","Hyundai Accent",980000,"2012"
"880","Toyota Corolla",285000,"1994"
"881","Toyota Vitz",1799999,"2014"
"882",NA,NA,NA
"883","Nissan Latio",1150000,"2012"
"884","Mazda 2WD",1500000,"2014"
"885","Toyota 2WD",2600000,"2015"
"886","Suzuki 2015",1750000,"2015"
"887","Toyota vitz",2100000,"2015"
"888","Honda 2WD",1980000,"2015"
"889","Honda 2015",1900000,"2015"
"890","Honda 2015",1980000,"2015"
"891","Suzuki Swift",1300000,"2012"
"892","Toyota 2015",2550000,"2015"
"893",NA,NA,NA
"894","Toyota Crown",9e+05,"2001"
"895","Nissan DIGS",1300000,"2013"
"896","Nissan Caravan",1650000,"2012"
"897","Suzuki ECO",8e+05,"2013"
"898","Toyota Tacoma",2200000,"2007"
"899","Honda Touring",3100000,"2016"
"900","Toyota Yaris",2490000,"2014"
"901","Toyota Rav4",2290000,"2012"
"902","Toyota Camry",99000,"1991"
"903","Toyota Caldina",250000,"1997"
"904",NA,NA,NA
"905","Suzuki SX4",9e+05,"2008"
"906","Honda Stream",1360000,"2009"
"907","Toyota S",2400000,"2015"
"908","Nissan 2010",1100000,"2010"
"909","Nissan Teana",2200000,"2012"
"910","Toyota Corolla",450000,"1997"
"911","Toyota Kluggee",850000,"2001"
"912","Mitsubishi Grandis",1e+06,"2008"
"913","Toyota x",1100000,"2007"
"914","Toyota Hiace",499000,"1994"
"915",NA,NA,NA
"916","Mitsubishi Lancer",650000,"2007"
"917","Nissan b14",265000,"1996"
"918","Mazda Axela",1700000,"2013"
"919","Honda Si",1300000,"2007"
"920","Toyota Vitz",1789999,"2014"
"921","Toyota axio",1949999,"2013"
"922","Nissan note",7e+05,"2008"
"923","Mercedes e350",3450000,"2013"
"924","Nissan Note",1370000,"2013"
"925","Honda hybrid",1200000,"2012"
"926",NA,NA,NA
"927","BMW E60",1150000,"2005"
"928","Toyota corolla",15000,"1995"
"929","Honda Civic",4550000,"2017"
"930","Mitsubishi Grandis",490000,"2003"
"931","Honda Integra",320000,"1999"
"932","Subaru Forrester",75000,"2005"
"933","BMW 320i",3300000,"2012"
"934","Nissan Skyline",1350000,"2007"
"935","Honda Accord",2500000,"2011"
"936","Honda Partner",4e+05,"1998"
"937",NA,NA,NA
"938","Nissan Sylphy",1100000,"2007"
"939","Honda Civic",1100000,"2005"
"940","Honda CRV",560000,"1996"
"941","Subaru Legacy",7e+05,"2006"
"942","Toyota Allion",820000,"2005"
"943","Honda Hybrid",1300000,"2012"
"944","Toyota Surf",1175000,"2002"
"945","Nissan Note",1220000,"2012"
"946","Nissan Tiida",850000,"2010"
"947","Toyota Belta",880000,"2011"
"948",NA,NA,NA
"949","Toyota 110",355000,"1995"
"950","Daihatsu MIRA",620000,"2013"
"951","Nissan AD",870000,"2013"
"952","Hyundai Tucson",790000,"2007"
"953","Honda Fit",770000,"2007"
"954","Toyota Fielder",1150000,"2007"
"955","Nissan Serena",1789000,"2012"
"956","Mitsubishi ASX",3300000,"2016"
"957","BMW 525I",1100000,"2003"
"958","Lexus Is300h",4250000,"2014"
"959",NA,NA,NA
"960","Nissan Wagon",6e+05,"2010"
"961","Toyota Fender",15000,"2000"
"962","Toyota Passo",580000,"2012"
"963","Suzuki Swift",1355000,"2012"
"964","Mercedes package",7500000,"2015"
"965","Honda Stream",990000,"2006"
"966","Honda EX",2400000,"2015"
"967","Mazda premacy",1400000,"2010"
"968","Nissan Caravan",7e+05,"2005"
"969","Honda Accord",9e+05,"2004"
"970",NA,NA,NA
"971","Honda Civic",3100000,"2016"
"972","Nissan Sylphy",1500000,"2011"
"973","Honda Civic",520000,"2001"
"974","Honda Civic",520000,"2001"
"975","Mitsubishi Lancer",4e+05,"2002"
"976","Mazda Premacy",1430000,"2011"
"977","Mercedes AMG",2300000,"2007"
"978","Honda Ridgeline",1650000,"2007"
"979","Honda Accord",3900000,"2017"
"980","Honda Accord",3100000,"2015"
"981",NA,NA,NA
"982","Toyota Rav4",1370000,"2006"
"983","BMW Edition",6800000,"2016"
"984","Honda Accord",2350000,"2013"
"985","Toyota Wish",1280000,"2008"
"986","Honda Civic",880000,"2007"
"987","Toyota Hiace",1100000,"2003"
"988","Honda City",3400000,"2017"
"989","Suzuki G4",2500000,"2015"
"990","Toyota FRS",2600000,"2012"
"991","Nissan Note",1645000,"2015"
"992",NA,NA,NA
"993","Volkswagen polo",2100000,"2016"
"994","Toyota TXL",8100000,"2015"
"995","Nissan Latio",1549000,"2013"
"996","Toyota Vitz",850000,"2010"
"997","Kia Sorento",1750000,"2011"
"998","Toyota X",3089000,"2014"
"999","Suzuki Alto",570000,"2010"
"1000","Honda lx",530000,"2002"
"1001","Daihatsu Charade",125000,"1992"
"1002","Toyota X",2250000,"2012"
"1003",NA,NA,NA
"1004","Daihatsu mira",780000,"2013"
"1005","Isuzu Truck",3e+06,"1999"
"1006","Toyota Noah",1350000,"2006"
"1007","Mitsubishi Pajero",7e+06,"2017"
"1008","BMW 318i",9e+05,"2004"
"1009","Toyota camry",350000,"1998"
"1010","Toyota corolla",1200000,"2009"
"1011","Nissan March",790000,"2012"
"1012","Honda Civic",570000,"2000"
"1013","Nissan Wagon",590000,"2002"
"1014",NA,NA,NA
"1015","Leyland freightliner",650000,"1992"
"1016","Honda rs",6e+05,"2001"
"1017","Nissan Note",840000,"2012"
"1018","Toyota x",2680000,"2012"
"1019","Cadillac Escalade",14900000,"2015"
"1020","Toyota X",2300000,"2012"
"1021","Honda Civic",1250000,"2008"
"1022","Mitsubishi chariot",650000,"1999"
"1023","Mitsubishi lancer",370000,"2002"
"1024","Mitsubishi lancer",351000,"1999"
"1025",NA,NA,NA
"1026","Toyota Fielder",1830000,"2013"
"1027","Daewoo Nubira",250000,"2001"
"1028","Toyota Axio",2170000,"2015"
"1029","Toyota Vitz",1470000,"2013"
"1030","Honda Fit",1450000,"2013"
"1031","Toyota 2",6e+05,"1992"
"1032","Mazda Axela",1300000,"2011"
"1033","Nissan Tiida",9e+05,"2011"
"1034","Toyota Tundra",1650000,"2005"
"1035","Toyota Coaster",2800000,"2009"
"1036",NA,NA,NA
"1037","BMW 320i",2750000,"2011"
"1038","Mercedes 350",8e+06,"2013"
"1039","BMW 350iX",7e+06,"2012"
"1040","Toyota Axio",1850000,"2013"
"1041","Honda Civic",630000,"2002"
"1042","Toyota Probox",1150000,"2012"
"1043","Nissan sunny",190000,"1990"
"1044","Subaru Impreza",1500000,"2012"
"1045","Honda Fit",1800000,"2015"
"1046","Nissan Note",890000,"2011"
"1047",NA,NA,NA
"1048","Mitsubishi ELS",2300000,"2015"
"1049","Honda Fit",1549000,"2013"
"1050","Honda CRV",3700000,"2013"
"1051","Mazda Demio",1429000,"2013"
"1052","Mazda Demio",1399000,"2013"
"1053","Toyota Axio",1950000,"2013"
"1054","Toyota Fielder",1550000,"2010"
"1055","Honda fit",650000,"2004"
"1056","Nissan wagon",8e+05,"2012"
"1057","Toyota shape",330000,"1995"
"1058",NA,NA,NA
"1059","Toyota Noah",1900000,"2010"
"1060","Honda Accord",970000,"2006"
"1061","Suzuki sports",8e+05,"2007"
"1062","Mitsubishi SPORT",990000,"2005"
"1063","Honda Civic",990000,"2007"
"1064","Toyota Harrier",5700000,"2015"
"1065","Mitsubishi ASX",2200000,"2012"
"1066","Audi Line",6900000,"2016"
"1067","Mazda Demio",1399000,"2013"
"1068","Toyota Corolla",470000,"1997"
"1069",NA,NA,NA
"1070","Toyota Noah",8e+05,"2001"
"1071","Suzuki Swift",1599000,"2014"
"1072","Toyota Coaster",4e+06,"2007"
"1073","Toyota Camry",350000,"1993"
"1074","Suzuki SWIFT",7300000,"2008"
"1075","Toyota Axio",2600000,"2015"
"1076","Toyota Platz",499000,"2003"
"1077","Toyota Noah",1750000,"2010"
"1078","Honda Turbo",3100000,"2016"
"1079","Nissan Note",720000,"2009"
"1080",NA,NA,NA
"1081","Nissan Sylphy",810000,"2007"
"1082","Toyota AXIO",1898000,"2014"
"1083","Nissan wagon",920000,"2013"
"1084","Mitsubishi shape",670000,"2005"
"1085","Toyota altis",930000,"2004"
"1086","Toyota Camry",360000,"1997"
"1087","Nissan Sylphy",820000,"2007"
"1088","Nissan Sylphy",2200000,"2013"
"1089","Nissan Latio",1650000,"2013"
"1090","Suzuki Vitara",1650000,"2011"
"1091",NA,NA,NA
"1092","Nissan Note",650000,"2008"
"1093","Toyota Corolla",2500000,"2014"
"1094","Jaguar XF",5500000,"2015"
"1095","Toyota Probox",1255000,"2013"
"1096","Nissan Serena",3e+05,"1997"
"1097","Mitsubishi Grandis",650000,"2005"
"1098","Toyota Voxy",2250000,"2011"
"1099","Toyota Corolla",250000,"1996"
"1100","Nissan AD",880000,"2013"
"1101","Mitsubishi Wagon",450000,"2002"
"1102",NA,NA,NA
"1103","Honda LX",2800000,"2016"
"1104","Mitsubishi lancer",480000,"2005"
"1105","Suzuki Swift",660000,"2009"
"1106","Nissan Tiida",950000,"2011"
"1107","Toyota Allion",1350000,"2008"
"1108","Toyota corolla",420000,"1999"
"1109","Toyota Wish",1680000,"2008"
"1110","Nissan Note",1350000,"2014"
"1111","Toyota axio",2150000,"2015"
"1112","Honda Civic",2450000,"2015"
"1113",NA,NA,NA
"1114","Toyota Rav4",3900000,"2014"
"1115","Nissan Xtrail",780000,"2004"
"1116","Nissan wingroad",55000,"2004"
"1117","Toyota Voxy",2350000,"2013"
"1118","BMW 320i",850000,"2008"
"1119","Nissan Lafesta",7e+05,"2007"
"1120","Honda Torneo",780000,"2002"
"1121","Honda Crv",1700000,"2007"
"1122","Toyota Alphardvellfire",3650000,"2012"
"1123","Honda Stream",1800000,"2011"
"1124",NA,NA,NA
"1125","Toyota Wish",1680000,"2010"
"1126","Chevrolet Avalanche",980000,"2003"
"1127","Honda Fit",650000,"2005"
"1128","Toyota Rav4",1550000,"2007"
"1129","BMW 320i",2500000,"2011"
"1130","Honda ine",1250000,"2006"
"1131","Nissan Latio",810000,"2007"
"1132","Toyota CAMRY",1150000,"2007"
"1133","BMW 318i",1750000,"2009"
"1134","Honda CIVIC",1750000,"2012"
"1135",NA,NA,NA
"1136","Toyota x",2250000,"2012"
"1137","Honda Fit",1990000,"2015"
"1138","Nissan Note",1220000,"2012"
"1139","Honda LX",1585000,"2010"
"1140","Honda Fit",1130000,"2011"
"1141","Toyota Fielder",1750000,"2013"
"1142","Toyota Axio",1750000,"2013"
"1143","Toyota Axio",1730000,"2013"
"1144","Nissan Lafesta",1280000,"2012"
"1145","Honda Ex",3600000,"2017"
"1146",NA,NA,NA
"1147","Toyota x",2299000,"2010"
"1148","Nissan G",2050000,"2013"
"1149","Toyota markx",1200000,"2006"
"1150","Toyota axio",1750000,"2013"
"1151","Nissan Note",1370000,"2013"
"1152","Acura Inspire",280000,"1995"
"1153","Toyota X",1700000,"2009"
"1154","Toyota REVO",7400000,"2018"
"1155","Toyota TRD",7400000,"2018"
"1156","Honda Fit",680000,"2005"
"1157",NA,NA,NA
"1158","Audi Q3",5800000,"2017"
"1159","Honda FIT",1200000,"2012"
"1160","Toyota Sienta",550000,"2007"
"1161","Honda Coupe",950000,"2007"
"1162","Suzuki XG",1650000,"2015"
"1163","Toyota Axio",1200000,"2009"
"1164","Nissan Slyphy",1200000,"2009"
"1165","Honda accord",5e+05,"1998"
"1166","Nissan SEDAN",901000,"2010"
"1167","Toyota Vigo",2450000,"2008"
"1168",NA,NA,NA
"1169","BMW X1",3e+06,"2012"
"1170","Toyota X",3400000,"2014"
"1171","Toyota Tersel",420000,"1995"
"1172","Toyota Hiace",6e+05,"2004"
"1173","Honda FK2",8400000,"2016"
"1174","Honda Accord",3700000,"2015"
"1175","Honda Stepwagon",2e+06,"2011"
"1176","Toyota Allion",2100000,"2011"
"1177","Nissan Wagon",950000,"2011"
"1178","Mitsubishi Sport",550000,"2001"
"1179",NA,NA,NA
"1180","Toyota Noah",2200000,"2011"
"1181","Subaru SpecB",2195000,"2012"
"1182","Nissan Wagon",1100000,"2012"
"1183","Honda Spada",2490000,"2011"
"1184","Toyota 4",1350000,"2006"
"1185","Honda Integra",380000,"1999"
"1186","Toyota Vanguard",2150000,"2010"
"1187","Audi Q3",4800000,"2016"
"1188","Mercedes A200",5800000,"2014"
"1189","Honda Civic",3100000,"2016"
"1190",NA,NA,NA
"1191","Honda Aria",688000,"2006"
"1192","Honda Civic",3e+05,"1995"
"1193","Honda CRV",1200000,"2006"
"1194","Nissan Note",1500000,"2013"
"1195","BMW 320d",4100000,"2014"
"1196","Subaru WRX",1200000,"2005"
"1197","Toyota Corrolla",250000,"1994"
"1198","Toyota Rav4",4e+05,"1995"
"1199","Mercedes A160",6e+05,"2004"
"1200","Subaru Imprezza",1350000,"2011"
"1201",NA,NA,NA
"1202","Toyota Vitz",1270000,"2012"
"1203","Nissan Latio",1399000,"2012"
"1204","Honda fit",1900000,"2014"
"1205","Honda Accord",3800000,"2016"
"1206","Mercedes 250",5200000,"2012"
"1207","BMW X3",4800000,"2013"
"1208","Toyota Yaris",2350000,"2016"
"1209","Cadillac Hearse",1650000,"2001"
"1210","Audi Q5",4300000,"2013"
"1211","Toyota JOYLONG",4500000,"2017"
"1212",NA,NA,NA
"1213","Mitsubishi Colt",220000,"1999"
"1214","Nissan Slyphy",2100000,"2013"
"1215","Cadillac Escalade",17400000,"2015"
"1216","Nissan Note",1240000,"2013"
"1217","Honda Civic",1900000,"2013"
"1218","Mitsubishi Fortis",780000,"2009"
"1219","Honda Civic",680000,"2001"
"1220","Toyota Wish",1100000,"2007"
"1221","Suzuki Swift",790000,"2009"
"1222","Honda Civic",14500,"2001"
"1223",NA,NA,NA
"1224","Nissan latio",730000,"2007"
"1225","Hyundai Tucson",2150000,"2011"
"1226","Nissan Sylphy",1250000,"2010"
"1227","Mitsubishi Lancer",280000,"1999"
"1228","Honda FIT",1980000,"2013"
"1229","Nissan Note",1250000,"2013"
"1230","Audi SLINE",2650000,"2011"
"1231","Nissan SSS",230000,"1993"
"1232","Nissan Bluebird",230000,"1993"
"1233","Honda CIVIC",550000,"2000"
"1234",NA,NA,NA
"1235","Toyota 2",440000,"1996"
"1236","Subaru WRX",980000,"2005"
"1237","Toyota Townace",150000,"1991"
"1238","Honda Fit",690000,"2007"
"1239","Mitsubishi Fortis",7e+05,"2008"
"1240","Toyota 22r",260000,"1989"
"1241","Ford F150",3e+05,"1999"
"1242","Honda Civic",1200000,"2009"
"1243","Honda Accord",580000,"2000"
"1244","Nissan B14",230000,"1994"
"1245",NA,NA,NA
"1246","Nissan Van",920000,"2012"
"1247","Subaru LEVORG",3200000,"2014"
"1248","Mazda Demio",7e+05,"2008"
"1249","Toyota Vitz",1570000,"2013"
"1250","Suzuki Swift",1340000,"2013"
"1251","Mitsubishi Lancer",670000,"2007"
"1252","Ford F150",5500000,"2015"
"1253","Nissan Tiida",7e+05,"2007"
"1254","Toyota Axio",1800000,"2013"
"1255","BMW 328i",3e+06,"2012"
"1256",NA,NA,NA
"1257","Mazda Demio",250000,"2002"
"1258","Honda civic",530000,"2001"
"1259","Nissan Wingroad",1160000,"2012"
"1260","Mitsubishi fortis",850000,"2008"
"1261","Toyota Axio",1700008,"2013"
"1262","Audi S3",6400000,"2016"
"1263","Toyota luxul",1300000,"2008"
"1264","BMW GT",5e+06,"2014"
"1265","Toyota GLi",2800000,"2015"
"1266","Toyota Hiace",3050000,"2012"
"1267",NA,NA,NA
"1268","BMW Sport",3300000,"2010"
"1269","Mitsubishi Colt",850000,"2010"
"1270","Honda EK3",530000,"1998"
"1271","Subaru Forrester",890000,"2007"
"1272","Honda Crv",550000,"1996"
"1273","Honda civic",620000,"2004"
"1274","Acura ILx",2700000,"2016"
"1275","BMW X5",5700000,"2017"
"1276","Toyota Altis",770000,"2004"
"1277","Toyota Wish",1190000,"2008"
"1278",NA,NA,NA
"1279","Toyota wish",1750000,"2011"
"1280","Nissan Sunny",5e+05,"1997"
"1281","Acura RSX",750000,"2002"
"1282","Toyota Vitz",590000,"2006"
"1283","Land Evoque",4800000,"2013"
"1284","Toyota majestya",2650000,"2011"
"1285","Honda Inspire",2200000,"2011"
"1286","Nissan Note",1380000,"2013"
"1287","BMW 320I",2500000,"2011"
"1288","Volkswagen edition",2150000,"2013"
"1289",NA,NA,NA
"1290","Mitsubishi sport",450000,"1998"
"1291","Toyota GT86",2900000,"2013"
"1292","Honda Civic",780000,"2005"
"1293","Nissan Note",1150000,"2012"
"1294","Suzuki RS",1410000,"2012"
"1295","Nissan Pulsar",365000,"1996"
"1296","Honda Integra",360000,"1998"
"1297","Toyota Ciel",1630000,"2013"
"1298","Mitsubishi Dion",620000,"2000"
"1299","Nissan Wagon",820000,"2010"
"1300",NA,NA,NA
"1301","Nissan 250GT",1400000,"2007"
"1302","Toyota Wish",1200000,"2007"
"1303","Honda Accord",3e+06,"2015"
"1304","Honda Civic",3100000,"2017"
"1305","Honda Civic",2350000,"2014"
"1306","Nissan Latio",1650000,"2013"
"1307","Toyota x",3200000,"2014"
"1308","Toyota package",2450000,"2013"
"1309","Toyota Rav4",9e+05,"2003"
"1310","Mazda Demio",1400000,"2013"
"1311",NA,NA,NA
"1312","Nissan Note",1270000,"2012"
"1313","Toyota Axio",2300000,"2015"
"1314","Toyota Corolla",1700000,"2013"
"1315","Mercedes C200",3e+06,"2011"
"1316","Mercedes 250",6800000,"2015"
"1317","Toyota x",2850000,"2013"
"1318","Toyota Hiace",780000,"2002"
"1319","Honda civic",550000,"2000"
"1320","Toyota Terrios",1200000,"2010"
"1321","Nissan Sunny",140000,"1991"
"1322",NA,NA,NA
"1323","Nissan Note",1450000,"2014"
"1324","Suzuki Swift",1050000,"2012"
"1325","Toyota Voxy",2850000,"2013"
"1326","Toyota carolla",550000,"1999"
"1327","Suzuki Swift",1350000,"2013"
"1328","Mazda Premacy",1650000,"2013"
"1329","Toyota Fielder",1850000,"2013"
"1330","Nissan presage",850000,"2008"
"1331","Toyota Axio",2300000,"2015"
"1332","Toyota Rav4",1100000,"2004"
"1333",NA,NA,NA
"1334","Nissan Caravan",1350000,"2011"
"1335","Suzuki VITARA",2500000,"2013"
"1336","Suzuki XG",1200000,"2011"
"1337","Subaru Impreza",1800000,"2012"
"1338","Honda Civic",1599000,"2011"
"1339","Toyota Caldina",670000,"2004"
"1340","Toyota Belta",1050000,"2012"
"1341","Mercedes 250D",10500000,"2017"
"1342","Honda Accord",2100000,"2009"
"1343","Ford Explorer",2850000,"2012"
"1344",NA,NA,NA
"1345","Toyota Isis",1250000,"2010"
"1346","Nissan Tida",880000,"2010"
"1347","Nissan Skyline",20000,"2009"
"1348","Nissan Sylphy",1390000,"2011"
"1349","Ford Everest",3200000,"2013"
"1350","Mercedes ML270",9e+05,"2001"
"1351","Honda Fit",1940000,"2015"
"1352","Honda Hybrid",1260000,"2012"
"1353","Toyota Vitz",1370000,"2013"
"1354","Nissan Ceferio",5e+05,"2004"
"1355",NA,NA,NA
"1356","Nissan Bluebird",295000,"1999"
"1357","Honda Accord",1450000,"2010"
"1358","Nissan 1800cc",1380000,"2013"
"1359","Toyota Caldina",760000,"2007"
"1360","Nissan Juke",2500000,"2013"
"1361","Mitsubishi Grandis",7e+05,"2007"
"1362","Honda Accord",640000,"1999"
"1363","Mitsubishi Lancer",1800000,"2014"
"1364","Honda Fit",1800000,"2015"
"1365","Daihatsu Siron",490000,"2006"
"1366",NA,NA,NA
"1367","Suzuki SX4",970000,"2010"
"1368","Honda ACCORD",1550000,"2008"
"1369","Nissan sports",1500000,"2011"
"1370","Nissan SERENA",2500000,"2015"
"1371","Mercedes 250",4950000,"2015"
"1372","Subaru sport",1799000,"2013"
"1373","Honda Accord",32000,"2016"
"1374","Toyota noah",3600000,"2015"
"1375","Nissan Note",1350000,"2013"
"1376","Nissan Frontier",950000,"2005"
"1377",NA,NA,NA
"1378","Honda Accord",1400000,"2008"
"1379","Honda Fit",840000,"2008"
"1380","Toyota hiace",790000,"2003"
"1381","Honda Civic",1695000,"2010"
"1382","Nissan Caravan",550000,"2004"
"1383","Honda INTEGRA",550000,"1998"
"1384","Mitsubishi GALANT",390000,"2003"
"1385","Subaru Impreza",1699000,"2012"
"1386","Mitsubishi Pajero",8e+05,"2002"
"1387","Daihatsu Mira",625000,"2012"
"1388",NA,NA,NA
"1389","Honda Sport",2450000,"2013"
"1390","Toyota Corolla",340000,"2002"
"1391","Mitsubishi fortis",950000,"2008"
"1392","Toyota 111",4e+05,"1999"
"1393","Lexus rx300",1500000,"2004"
"1394","Honda Civic",2500000,"2014"
"1395","BMW 320i",950000,"2006"
"1396","Nissan Bluebird",160000,"1992"
"1397","Honda Accord",2800000,"2012"
"1398","Toyota Levin",440000,"1996"
"1399",NA,NA,NA
"1400","Nissan Urvan",9e+05,"2007"
"1401","Toyota Vitz",870000,"2010"
"1402","Honda Civic",1100000,"2007"
"1403","Honda Crv",680000,"1999"
"1404","Toyota Axio",1350000,"2010"
"1405","Nissan XTrail",2650000,"2012"
"1406","Honda Accord",2650000,"2014"
"1407","Toyota Corolla",2e+05,"1992"
"1408","Nissan Latio",1450000,"2013"
"1409","BMW X1",2700000,"2011"
"1410",NA,NA,NA
"1411","Honda EX",3150000,"2016"
"1412","Mercedes C180",4200000,"2014"
"1413","BMW 528i",4800000,"2013"
"1414","Nissan Pickup",290000,"1990"
"1415","Nissan Sylphy",1570000,"2012"
"1416","Honda Crv",1750000,"2007"
"1417","Toyota Levin",230000,"1991"
"1418","Honda CL7",1195000,"2008"
"1419","Honda Accord",1650000,"2009"
"1420","Toyota Succeed",1300000,"2013"
"1421",NA,NA,NA
"1422","Nissan Latio",1530000,"2013"
"1423","Land HSE",14850000,"2015"
"1424","BMW X6",15500000,"2016"
"1425","Toyota Axio",1680000,"2012"
"1426","Toyota SUV",750000,"2009"
"1427","Honda Civic",4380000,"2017"
"1428","Toyota Corolla",4e+05,"1997"
